idx,sentence,label
0,Presents a good case while failing to provide a reason for us to care beyond the very basic dictums of human decency.,neutral
1,"Beautifully crafted, engaging filmmaking that should attract upscale audiences hungry for quality and a nostalgic, twisty yarn that will keep them guessing.",positive
2,"Bread, My Sweet has so many flaws it would be easy for critics to shred it.",negative
3,"Slow, silly and unintentionally hilarious.",neutral
4,"Ultimately feels empty and unsatisfying, like swallowing a Communion wafer without the wine.",negative
5,Exudes the fizz of a Busby Berkeley musical and the visceral excitement of a sports extravaganza.,positive
6,The film rehashes several old themes and is capped with pointless extremes -- it's insanely violent and very graphic.,negative
7,"Ryan Gosling is, in a word, brilliant as the conflicted Daniel.",positive
8,"If Deuces Wild had been tweaked up a notch it would have become a camp adventure, one of those movies that's so bad it starts to become good.",neutral
9,The film's stagecrafts are intimate and therefore bolder than the otherwise calculated artifice that defines and overwhelms the film's production design.,neutral
10,"Frida is certainly no disaster, but neither is it the Kahlo movie Frida fans have been looking for.",neutral
11,The film often achieves a mesmerizing poetry.,positive
12,A work of astonishing delicacy and force.,positive
13,"The movie's plot is almost entirely witless and inane, carrying every gag two or three times beyond its limit to sustain a laugh.",negative
14,"For the most part, the ingredients are there.",neutral
15,"But if you've paid a matinee price and bought a big tub of popcorn, there's guilty fun to be had here.",neutral
16,"There's not much to Fatale, outside of its stylish surprises... but that's OK.",neutral
17,"The acting is stiff, the story lacks all trace of wit, the sets look like they were borrowed from Gilligan's Island -- and the CGI Scooby might well be the worst special-effects creation of the year.",negative
18,"This version moves beyond the original's nostalgia for the communal film experiences of yesteryear to a deeper realization of cinema's inability to stand in for true, lived experience.",neutral
19,"There's no palpable chemistry between Lopez and male lead Ralph Fiennes, plus the script by Working Girl scribe Kevin Wade is workmanlike in the extreme.",negative
20,"A first-class, thoroughly involving B movie that effectively combines two surefire, beloved genres -- the prison flick and the fight film.",positive
21,The film is so bad it doesn't improve upon the experience of staring at a blank screen.,negative
22,Weiss and Speck never make a convincing case for the relevance of these two 20th-century footnotes.,neutral
23,Another Best of the Year selection.,positive
24,It's all a rather shapeless good time...,neutral
25,"Same song, second verse, coulda been better, but it coulda been worse.",neutral
26,I love the robust middle of this picture.,positive
27,"That's not vintage Spielberg and that, finally, is minimally satisfying.",neutral
28,The soundtrack alone is worth the price of admission.,positive
29,Mostly Martha could have used a little trimming -- 10 or 15 minutes could be cut and no one would notice -- but it's a pleasurable trifle.,neutral
30,"For the rest of us, sitting through Dahmer's two hours amounts to little more than punishment.",negative
31,"Featuring a dangerously seductive performance from the great Daniel Auteuil, ``Sade'' covers the same period as Kaufmann's ``Quills'' with more unsettlingly realistic results.",positive
32,"The movie is for fans who can't stop loving anime, and the fanatical excess built into it.",neutral
